ID,Character,Importance,House,Living
1,Hermione Granger,100,,"Hufflepuff, Hogsmead"
2,Hedwig,100,,"Gryffindor, Hogsmead"
3,Dolores Janes Umbridge,30,,"Raveclaw, Hogsmead"
4,Olympe Maxime,30,,"Slytherin, Godric Hollows"
5,Vernon Dursley,50,,"Slytherin, Godric Hollows"
6,Petunia Dursley,50,,"Hufflepuff, Others"
7,Arthur Weasley,85,,"Slytherin, Godric Hollows"
8,Dudley Dursley,50,,"Raveclaw, Hogsmead"
9,Argus Filch,40,,"Hufflepuff, Others"
10,Viktor Krum,25,,"Raveclaw, Godric Hollows"
11,Hedwig,100,,"Gryffindor, Others"
12,"Bartemius ""Barty"" Crouch Sr.",15,,"Slytherin, Godric Hollows"
13,Hedwig,100,,"Hufflepuff, Others"
14,Bill Weasley,60,,"Slytherin, Others"
15,Grawp,10,,"Gryffindor, Others"
16,Fleur Delacour,60,,"Slytherin, Others"
17,Dudley Dursley,50,,"Gryffindor, Others"
18,Neville Longbottom,90,,"Raveclaw, Godric Hollows"
19,Sirius Black,70,,"Hufflepuff, Hogwarts"
20,Luna Lovegood,70,,"Raveclaw, Hogsmead"
21,Percy Weasley,65,,"Slytherin, Godric Hollows"
22,Charlie Weasley,65,,"Gryffindor, Others"
23,Bill Weasley,60,,"Gryffindor, Hogsmead"
24,Petunia Dursley,50,,"Raveclaw, Godric Hollows"
25,Charlie Weasley,65,,"Hufflepuff, Hogsmead"
26,Severus Snape,100,,"Gryffindor, Godric Hollows"
27,Dudley Dursley,50,,"Hufflepuff, Others"
28,Xenophilius Lovegood,70,,"Slytherin, Hogsmead"
29,Mary Riddle,10,,"Raveclaw, Others"
30,Dudley Dursley,50,,"Slytherin, Others"
31,Xenophilius Lovegood,70,,"Slytherin, Hogsmead"
32,Fluffy,20,,"Slytherin, Others"
33,Bill Weasley,60,,"Gryffindor, Godric Hollows"
34,Frank Longbottom,10,,"Raveclaw, Others"
35,Seamus Finnigan,40,,"Raveclaw, Others"
36,Bellatrix Lestrange,70,,"Hufflepuff, Others"
37,Dudley Dursley,50,,"Raveclaw, Others"
38,"Bartemius ""Barty"" Crouch Jr.",15,,"Hufflepuff, Others"
39,Argus Filch,40,,"Slytherin, Godric Hollows"
40,Albus Dumbledore,100,,"Hufflepuff, Others"
41,Vernon Dursley,50,,"Slytherin, Godric Hollows"
42,Rita Skeeter,20,,"Hufflepuff, Hogsmead"
43,Nymphadora Tonks,70,,"Hufflepuff, Hogsmead"
44,Grawp,10,,"Slytherin, Godric Hollows"
45,Dudley Dursley,50,,"Raveclaw, Godric Hollows"
46,Quirinus Quirrell,30,,"Raveclaw, Others"
47,Xenophilius Lovegood,70,,"Hufflepuff, Godric Hollows"
48,Narcissa Malfoy,40,,"Gryffindor, Hogwarts"
49,Narcissa Malfoy,40,,"Raveclaw, Hogsmead"
50,Petunia Dursley,50,,"Slytherin, Others"
51,Charlie Weasley,65,,"Slytherin, Godric Hollows"
52,Hedwig,100,,"Raveclaw, Others"
53,Sirius Black,70,,"Slytherin, Others"
54,Narcissa Malfoy,40,,"Slytherin, Godric Hollows"
55,Alice Longbottom,10,,"Gryffindor, Others"
56,George Weasley,95,,"Raveclaw, Hogsmead"
57,Fred Weasley,95,,"Raveclaw, Others"
58,Lucius Malfoy,70,,"Slytherin, Godric Hollows"
59,Draco Malfoy,100,,"Gryffindor, Hogsmead"
60,Charlie Weasley,65,,"Hufflepuff, Godric Hollows"
61,George Weasley,95,,"Gryffindor, Others"
62,Petunia Dursley,50,,"Gryffindor, Others"
63,Albus Dumbledore,100,,"Raveclaw, Godric Hollows"
64,Draco Malfoy,100,,"Gryffindor, Godric Hollows"
65,Severus Snape,100,,"Slytherin, Hogsmead"
